idx,sku,zip,filename,category,category_en,subcategory,panel_family,model,title_raw,wattage,power_kw,capacity_ah,capacity_kwh,voltage,dimensions,features,size_kb,datasheet_size_kb,datasheet_under_1mb,datasheet_compression,has_extracted_text
145,OTH-145,Part2,Solar Street Light.pdf,other,Other / Accessories,,,Solar Street Light,Solar Street Light,,,,,,,IP65,705,1279,False,lossless,True
146,CTRL-146,Part2,RT-MRL Series.pdf,charge_controllers,Charge Controllers,MPPT Controller,,RT-MRL,RT-MRL Series,,,10-60A,,12V/24V,,Bluetooth,333,357,True,lossless,True
147,CTRL-147,Part2,RTAT Series.pdf,charge_controllers,Charge Controllers,PWM Controller,,RTAT,RTAT Series,,,10-50A,,12V / 24V,,,468,367,True,lossless,True
148,CTRL-148,Part2,RTCT Series.pdf,charge_controllers,Charge Controllers,PWM Controller,,RTCT,RTCT Series,,,2-60A,,12V/24V /48V,161x91x35mm,,425,478,True,lossless,True
149,BAT-149,Part2,RF12-18A.pdf,batteries,Batteries,AGM Battery,,RF12-18A,RF12-18A,,,18Ah,,12V,,,1163,1946,False,lossless,False
150,BAT-150,Part2,RF12-200A.pdf,batteries,Batteries,AGM Battery,,RF12-200A,RF12-200A,,,200Ah,,12/60/65/70V,,,1030,1132,False,lossless,True
151,BAT-151,Part2,RF12-250A.pdf,batteries,Batteries,AGM Battery,,RF12-250A,RF12-250A,,,250Ah,,12/60/65/70V,,,681,797,True,lossless,True
152,BAT-152,Part2,RF12-65A.pdf,batteries,Batteries,AGM Battery,,RF12-65A,RF12-65A,,,65Ah,,12V,,,1863,1955,False,lossless,True
153,BAT-153,Part2,RTG12-100A Orange.pdf,batteries,Batteries,GEL Battery,,RTG12-100A,RTG12-100A Orange,,,100Ah,,1.8/12V,,,915,1009,False,lossless,True
154,BAT-154,Part2,RTG12-150A White.pdf,batteries,Batteries,GEL Battery,,RTG12-150A,RTG12-150A White,,,150Ah,,12/60/65/70V,,,629,721,True,lossless,True
155,BAT-155,Part2,RTG12-200A Orange.pdf,batteries,Batteries,GEL Battery,,RTG12-200A,RTG12-200A Orange,,,200Ah,,12V,,,1227,1323,False,lossless,True
156,BAT-156,Part2,RTGB12-150A Blue.pdf,batteries,Batteries,GEL Battery,,RTGB12-150A,RTGB12-150A Blue,,,150Ah,,12/60/65/70V,,,493,517,True,lossless,True
157,BAT-157,Part2,RTGB12-200A Blue.pdf,batteries,Batteries,GEL Battery,,RTGB12-200A,RTGB12-200A Blue,,,200Ah,,12V,,,1199,1306,False,lossless,True
158,BAT-158,Part2,Indoor Floor Mounted Li-ion Battery RT-W51.2V 5-17kWh.pdf,batteries,Batteries,LiFePO4 Battery,,Indoor Floor Mounted Li-ion Battery RT-W51.2V 5-17kWh,Indoor Floor Mounted Li-ion Battery RT-W51.2V 5-17kWh,,,,5-17kWh,51.2V,,,1934,1367,False,lossless,True
159,BAT-159,Part2,LiFePO₄ RV&Marine Battery RTLB-12.8V（100&150&200Ah）.pdf,batteries,Batteries,LiFePO4 Battery,,LiFePO₄ RV&Marine Battery RTLB-12.8V（100&150&200Ah）,LiFePO₄ RV&Marine Battery RTLB-12.8V（100&150&200Ah）,,,150-200Ah,,12.8V,259x169x213mm,LiFePO4;IP65;Bluetooth,870,1379,False,lossless,True
160,BAT-160,Part2,RT-B Series LiFePO₄ Battery（20251027）.pdf,batteries,Batteries,LiFePO4 Battery,,RT-B,RT-B Series LiFePO₄ Battery（20251027）,,,100Ah,5kWh,21.6/22.4/25.6/28.8V,,LiFePO4;Built-in BMS;WiFi Monitoring;Bluetooth,997,1186,False,lossless,True
161,BAT-161,Part2,Stackable LiFePO₄ Battery 51.2V 5-30kWh.pdf,batteries,Batteries,LiFePO4 Battery,,Stackable,Stackable LiFePO₄ Battery 51.2V 5-30kWh,,,200Ah,5-30kWh,51.2V,,LiFePO4;Built-in BMS,1744,516,True,lossless,True
162,BAT-162,Part2,Wall Mounted LiFePO₄ Battery RTLB-51.2V（100&150&200&300Ah）.pdf,batteries,Batteries,LiFePO4 Battery,,Wall Mounted LiFePO₄ Battery RTLB-51.2V（100&150&200&300Ah）,Wall Mounted LiFePO₄ Battery RTLB-51.2V（100&150&200&300Ah）,,,200-300Ah,,51.2V,,LiFePO4,869,1002,False,lossless,True
163,INV-163,Part2,RT-AT Series Power Inverter.pdf,inverters,Inverters,Other Inverter,,RT-AT,RT-AT Series Power Inverter,,,,,,,,1686,3578,False,lossless,True
164,INV-164,Part2,RT-120CL-M0.pdf,inverters,Inverters,Grid-Tied Inverter,,RT-120CL-M0,RT-120CL-M0,,,,,,,Bluetooth;WiFi Monitoring,1046,1818,False,lossless,True
165,INV-165,Part2,RT-HY Series 8.2&10.2kW.pdf,inverters,Inverters,Hybrid Inverter,,RT-HY,RT-HY Series 8.2&10.2kW,,10.2kW,,,,,,656,1007,False,lossless,False
166,INV-166,Part2,RT-I65 Series（3-6kW）.pdf,inverters,Inverters,Hybrid Inverter,,RT-I65,RT-I65 Series（3-6kW）,,3-6kW,,,,,WiFi Monitoring,385,968,True,lossless,True
167,INV-167,Part2,RT-LF 1212T-P2.pdf,inverters,Inverters,Hybrid Inverter,,RT-LF,RT-LF 1212T-P2,1200W,,,,,325x263x133mm,,600,1083,False,lossless,True
168,INV-168,Part2,RT-ES Series（1.0-1.5kW）.pdf,inverters,Inverters,Off-Grid Inverter,,RT-ES,RT-ES Series（1.0-1.5kW）,,1.0-1.5kW,,,,,,475,619,True,lossless,False
169,INV-169,Part2,RT-ES-USN Series（800-1600W）.pdf,inverters,Inverters,Off-Grid Inverter,,RT-ES-USN,RT-ES-USN Series（800-1600W）,800-1600W,,,,,,Built-in BMS;WiFi Monitoring,1101,2121,False,lossless,True
