idx,sku,zip,filename,category,category_en,subcategory,panel_family,model,title_raw,wattage,power_kw,capacity_ah,capacity_kwh,voltage,dimensions,features,size_kb,datasheet_size_kb,datasheet_under_1mb,datasheet_compression,has_extracted_text
67,BAT-067,Part1,RTG12-150A Orange.pdf,batteries,Batteries,GEL Battery,,RTG12-150A,RTG12-150A Orange,,,150Ah,,12/60/65/70V,,,882,457,True,lossless,True
68,BAT-068,Part1,RTG12-200A White.pdf,batteries,Batteries,GEL Battery,,RTG12-200A,RTG12-200A White,,,200Ah,,12/60/65/70V,,,1998,1247,False,lossless,True
69,BAT-069,Part1,RTGB12-100A Blue.pdf,batteries,Batteries,GEL Battery,,RTGB12-100A,RTGB12-100A Blue,,,100Ah,,12V,,,1197,1320,False,lossless,True
70,BAT-070,Part1,High Voltage Lithium-Ion Phosphate Battery Storage System.pdf,batteries,Batteries,LiFePO4 Battery,,High Voltage Lithium-Ion Phosphate Battery Storage System,High Voltage Lithium-Ion Phosphate Battery Storage System,,,,15kWh,,,Built-in BMS;LiFePO4,687,610,True,lossless,True
71,BAT-071,Part1,RT-B Series LiFePO₄ Battery（20260331）.pdf,batteries,Batteries,LiFePO4 Battery,,RT-B,RT-B Series LiFePO₄ Battery（20260331）,,,100Ah,5kWh,21.6/22.4/25.6/28.8V,,LiFePO4;Built-in BMS;WiFi Monitoring;Bluetooth,984,1246,False,lossless,True
72,BAT-072,Part1,Wall Mounted LiFePO₄ Battery RTLB-25.6V（100&150&200Ah）.pdf,batteries,Batteries,LiFePO4 Battery,,Wall Mounted LiFePO₄ Battery RTLB-25.6V（100&150&200Ah）,Wall Mounted LiFePO₄ Battery RTLB-25.6V（100&150&200Ah）,,,150-200Ah,,25.6V,,LiFePO4,822,962,True,lossless,True
73,INV-073,Part1,RT-MI800 Solar Microinverter.pdf,inverters,Inverters,Other Inverter,,RT-MI800,RT-MI800 Solar Microinverter,,,,,,,WiFi Monitoring,1776,572,True,lossless,True
74,INV-074,Part1,Solar Pump Inverter.pdf,inverters,Inverters,Other Inverter,,Solar Pump Inverter,Solar Pump Inverter,,,,,,,,747,966,True,lossless,True
75,INV-075,Part1,RT-G-1P（2-6kW）.pdf,inverters,Inverters,Grid-Tied Inverter,,RT-G-1P,RT-G-1P（2-6kW）,2000W,2-6kW,,,,350x290x120mm,Bluetooth;IP65;WiFi Monitoring,1903,2038,False,lossless,True
76,INV-076,Part1,RT-G-3P（3-12kW）.pdf,inverters,Inverters,Grid-Tied Inverter,,RT-G-3P,RT-G-3P（3-12kW）,,3-12kW,,,,,,1708,2270,False,lossless,False
77,INV-077,Part1,RT-HY Series 3.6&4.2&6.2kW.pdf,inverters,Inverters,Hybrid Inverter,,RT-HY,RT-HY Series 3.6&4.2&6.2kW,,6.2kW,,,,,,508,665,True,lossless,False
78,INV-078,Part1,RT-R Series Energy Storage Inverter（8-10kW）.pdf,inverters,Inverters,Hybrid Inverter,,RT-R,RT-R Series Energy Storage Inverter（8-10kW）,,8-10kW,,,,,,500,920,True,lossless,False
79,INV-079,Part1,RT-T Series（30-60kW）.pdf,inverters,Inverters,Hybrid Inverter,,RT-T,RT-T Series（30-60kW）,,30-60kW,,,,,WiFi Monitoring,390,531,True,lossless,True
80,INV-080,Part1,RT2012TE & RT3024TE.pdf,inverters,Inverters,Hybrid Inverter,,RT2012TE,RT2012TE & RT3024TE,,,,,,,,528,638,True,lossless,False
81,INV-081,Part1,RT3024TA-Pro & RT3624TA-Pro & RT5548TA-Pro & RT6248TA-Pro & RT11048TA-Pro.pdf,inverters,Inverters,Hybrid Inverter,,RT3024TA-Pro,RT3024TA-Pro & RT3624TA-Pro & RT5548TA-Pro & RT6248TA-Pro & RT11048TA-Pro,3000W,3-6kW,,,,,Built-in BMS,635,1144,False,lossless,True
82,INV-082,Part1,RT-ES Series（2.0-3.2kW）.pdf,inverters,Inverters,Off-Grid Inverter,,RT-ES,RT-ES Series（2.0-3.2kW）,,2.0-3.2kW,,,,,,488,626,True,lossless,False
83,INV-083,Part1,RT-ES-US Series（800-1600W）.pdf,inverters,Inverters,Off-Grid Inverter,,RT-ES-US,RT-ES-US Series（800-1600W）,800-1600W,,,,,,Built-in BMS;WiFi Monitoring,1100,2121,False,lossless,True
84,INV-084,Part1,RT-K Series（3.6-6kw）.pdf,inverters,Inverters,Off-Grid Inverter,,RT-K,RT-K Series（3.6-6kw）,4000W,3.6-6kW,,,,,Bluetooth;LiFePO4;WiFi Monitoring,670,685,True,lossless,True
85,ESS-085,Part2,HH10KS.pdf,ess,Energy Storage System (ESS),,,HH10KS,HH10KS,,,,5.12kWh,,416x204x580mm,LiFePO4;WiFi Monitoring,410,480,True,lossless,True
86,ESS-086,Part2,SmartCube ESS Series RTHY(80~125)KWP3-RTLB(197~233)kWh.pdf,ess,Energy Storage System (ESS),,,SmartCube,SmartCube ESS Series RTHY(80~125)KWP3-RTLB(197~233)kWh,,,,17.92kWh,,635x1100x330mm,Built-in BMS;IP65;LiFePO4,507,1059,False,lossless,True
87,SP-087,Part2,RT7I-M 435-460W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT7I-M,RT7I-M 435-460W,435-460W,,,,,,,8384,1507,False,lossless,True
88,SP-088,Part2,RT7K-M-FB FULL BLACK 355-380W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT7K-M-FB,RT7K-M-FB FULL BLACK 355-380W,355-380W,,,,,,Full Black;IP67,5356,914,True,lossless,True
89,SP-089,Part2,RT7V-M 300-325W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT7V-M,RT7V-M 300-325W,300-325W,,,,,,,4191,1752,False,lossless,True
90,SP-090,Part2,RT8H-M 480-505W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8H-M,RT8H-M 480-505W,480-505W,,,,,,,4722,787,True,lossless,True
91,SP-091,Part2,RT8H-M 535-560W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8H-M,RT8H-M 535-560W,535-560W,,,,,,,4371,478,True,lossless,True
92,SP-092,Part2,RT8H-M-DG 600-635W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8H-M-DG,RT8H-M-DG 600-635W,600-635W,,,,,,TOPCon;Dual Glass,9452,2507,False,lossless,True
93,SP-093,Part2,RT8H-M-DG Black Frame 595-630W(1).pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8H-M-DG,RT8H-M-DG Black Frame 595-630W(1),595-630W,,,,,,TOPCon;Black Frame;Dual Glass,9472,2508,False,lossless,True
94,SP-094,Part2,RT8H-M-DG Black Frame 595-630W(2).pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8H-M-DG,RT8H-M-DG Black Frame 595-630W(2),595-630W,,,,,,TOPCon;Black Frame;Dual Glass,9624,2597,False,lossless,True
95,SP-095,Part2,RT8H-M-DG TOPCON 510-535W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8H-M-DG,RT8H-M-DG TOPCON 510-535W,510-535W,,,,,,Bifacial;Dual Glass;TOPCon,11863,2686,False,lossless,True
96,SP-096,Part2,RT8I-M 210x182mm 430-455W 1762x1134x30 35mm.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8I-M,RT8I-M 210x182mm 430-455W 1762x1134x30 35mm,430-455W,,,,,,TOPCon,23084,3364,False,lossless,True
97,SP-097,Part2,RT8I-M TOPCON 565-590W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8I-M,RT8I-M TOPCON 565-590W,565-590W,,,,,,TOPCon,5850,820,True,lossless,True
98,SP-098,Part2,RT8I-M-BD 550-560W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8I-M-BD,RT8I-M-BD 550-560W,550-560W,,,,,,TOPCon;Bifacial,10164,3001,False,lossless,True
99,SP-099,Part2,RT8I-M-BD 560-585W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8I-M-BD,RT8I-M-BD 560-585W,560-585W,,,,,,TOPCon;Bifacial,10930,2375,False,lossless,True
100,SP-100,Part2,RT8I-M-DG TOPCON 560-585W (1).pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8I-M-DG,RT8I-M-DG TOPCON 560-585W (1),560-585W,,,,,,TOPCon;Bifacial;Dual Glass,10338,2386,False,lossless,True
101,SP-101,Part2,RT8I-M-FB 530-580W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8I-M-FB,RT8I-M-FB 530-580W,530-580W,,,,,,Full Black,7648,1377,False,lossless,True
102,SP-102,Part2,RT8K-M-DG 440-465W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8K-M-DG,RT8K-M-DG 440-465W,440-465W,,,,,,Bifacial;Dual Glass,8355,1581,False,lossless,True
103,SP-103,Part2,RT8K-M-FB TOPCON 440-460W 1903x1134x30-35mm.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8K-M-FB,RT8K-M-FB TOPCON 440-460W 1903x1134x30-35mm,440-460W,,,,,,TOPCon;Full Black,8128,1530,False,lossless,True
104,SP-104,Part2,RT8V-M 390-415W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8V-M,RT8V-M 390-415W,390-415W,,,,,,,4520,733,True,lossless,True
105,SP-105,Part2,RT8V-M TOPCON BLACK FRAME 420-435W .pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8V-M,RT8V-M TOPCON BLACK FRAME 420-435W ,420-435W,,,,,,TOPCon;Black Frame,5033,995,False,lossless,True
106,SP-106,Part2,RT8V-M TOPCON Black Frame 490-515W 1961x1134x30.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8V-M,RT8V-M TOPCON Black Frame 490-515W 1961x1134x30,490-515W,,,,,,TOPCon;Black Frame,8105,1364,False,lossless,True
107,SP-107,Part2,RT8V-M-BD TOPCON 490-515W 1961x1134x30.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8V-M-BD,RT8V-M-BD TOPCON 490-515W 1961x1134x30,490-515W,,,,,,TOPCon;Bifacial,8888,1766,False,lossless,True
108,SP-108,Part2,RT8V-M-DG 390-415W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8V-M-DG,RT8V-M-DG 390-415W,390-415W,,,,,,Bifacial;Dual Glass,8690,1768,False,lossless,True
109,SP-109,Part2,RT8V-M-DG TOPCON 430-460W 1762x1134x30-35mm.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8V-M-DG,RT8V-M-DG TOPCON 430-460W 1762x1134x30-35mm,430-460W,,,,,,TOPCon;Dual Glass,8721,1707,False,lossless,True
110,SP-110,Part2,RT8V-M-DG TOPCON 490-500W 1961x1134x30.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8V-M-DG,RT8V-M-DG TOPCON 490-500W 1961x1134x30,490-500W,,,,,,TOPCon;Dual Glass,13592,2938,False,lossless,True
111,SP-111,Part2,RT8X-M-DG.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8X-M-DG,RT8X-M-DG,430-460W,,,,,,TOPCon;Dual Glass,7877,1429,False,lossless,True
112,SP-112,Part2,RT8X-M-FB TOPCON 430-460W 1762x1134x30mm.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8X-M-FB,RT8X-M-FB TOPCON 430-460W 1762x1134x30mm,430-460W,,,,,1762x1134x30mm,TOPCon;Full Black,7975,1615,False,lossless,True
113,SP-113,Part2,RT9H-M 700-720W Black Frame.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT9H-M,RT9H-M 700-720W Black Frame,700-720W,,,,,,TOPCon;Black Frame,10009,2936,False,lossless,True
